neighbourhood,weighted_price
Barking and Dagenham,111.60504201680672
Barnet,138.20767123287672
Bexley,99.35531914893618
Brent,155.69821930646674
Bromley,113.80583941605839
Camden,215.06267345050878
City of London,268.85273159144896
Croydon,101.8639863130881
Ealing,140.4210847044485
Enfield,128.61996779388085
Greenwich,130.5797007156799
Hackney,155.57881996974282
Hammersmith and Fulham,192.57427604362542
Haringey,127.2716955941255
Harrow,109.16837782340863
Havering,128.82173913043476
Hillingdon,114.60265878877401
Hounslow,135.88389121338912
Islington,182.39881367759943
Kensington and Chelsea,324.9434673366834
Kingston upon Thames,132.5494071146245
Lambeth,274.9181173436492
Lewisham,118.68478260869566
Merton,153.90457256461232
Newham,139.12823335167857
Redbridge,121.11989459815547
Richmond upon Thames,190.6341463414634
Southwark,201.27915632754343
Sutton,94.52996845425868
Tower Hamlets,153.95126353790616
Waltham Forest,114.42295345104334
Wandsworth,184.26856036152356
Westminster,315.28173374613
