NAME,Density
Kingston upon Thames,2.9161871558255057
Croydon,2.8422028443034586
Bromley,1.0110138309626877
Hounslow,3.7188976816949855
Ealing,6.862633816167383
Havering,0.8701812861442104
Hillingdon,0.932809514821094
Harrow,1.7651111185365285
Brent,11.477341372504352
Barnet,5.174914595937302
Lambeth,27.12925027860639
Southwark,27.283772961869893
Lewisham,10.071905420273703
Greenwich,7.216277506218053
Bexley,1.2995578153327343
Enfield,1.6923603052639595
Waltham Forest,6.838170598626241
Redbridge,2.3287304511982923
Sutton,1.4101246472435838
Richmond upon Thames,3.8685605311014064
Merton,5.978216405355581
Wandsworth,23.389389692298053
Hammersmith and Fulham,46.31079154846131
Kensington and Chelsea,132.4286834549175
Westminster,121.1057626729708
Camden,56.08275526245822
Tower Hamlets,55.639071887669466
Islington,52.75060059089178
Hackney,46.676712108472636
Haringey,11.480360221465858
Newham,10.796926953366361
Barking and Dagenham,2.924755702544388
City of London,50.065270994485736
