NAME,borough_weighted_average,Density
Barking and Dagenham,1376.5903614457832,2.924755702544388
Barnet,1709.8632075471698,5.174914595937302
Bexley,1401.8,1.2995578153327343
Brent,1787.8461538461538,11.477341372504352
Bromley,1510.2421875,1.0110138309626877
Camden,2275.2628205128203,56.08275526245822
City of London,2289.222222222222,50.065270994485736
Croydon,1364.826732673267,2.8422028443034586
Ealing,1751.375,6.862633816167383
Enfield,1511.75,1.6923603052639595
Greenwich,1776.7272727272727,7.216277506218053
Hackney,2079.185567010309,46.67671210847264
Hammersmith and Fulham,2340.9307692307693,46.31079154846131
Haringey,1838.0,11.480360221465858
Harrow,1654.563025210084,1.7651111185365285
Havering,1357.4567901234568,0.8701812861442104
Hillingdon,1462.448275862069,0.932809514821094
Hounslow,1698.0,3.7188976816949855
Islington,2256.6991869918697,52.75060059089178
Kensington and Chelsea,3177.1015037593984,132.4286834549175
Kingston upon Thames,1701.0655737704917,2.9161871558255057
Lambeth,2005.470588235294,27.12925027860639
Lewisham,1553.6702702702703,10.071905420273705
Merton,1801.611111111111,5.978216405355581
Newham,1680.0883720930233,10.79692695336636
Redbridge,1502.845588235294,2.3287304511982923
Richmond upon Thames,1982.4675324675325,3.8685605311014064
Southwark,2036.181069958848,27.283772961869893
Sutton,1377.3529411764705,1.4101246472435838
Tower Hamlets,2102.059210526316,55.639071887669466
Waltham Forest,1504.0993377483444,6.838170598626241
Wandsworth,2162.707423580786,23.389389692298053
Westminster,2901.375,121.1057626729708
